InChIKey,SMILES,uniprot+pfam,ic_value,ic_str,sentence_len,log(ic),BEL-level
MFBQOCBDHIBRLI-UHFFFAOYSA-N,O=C(Cn1cc(-c2cccc(-c3ccsc3)c2)nn1)c1ccc(Cl)cc1,P12931|PF07714,149999.99999999994,149999.99999999994,18,11.918390573078392,7
QHLVBNKYJGBCQJ-UHFFFAOYSA-N,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,O14920|PF00069,10000.0,10000.0,7,9.210340371976184,6
IXXOFUFGYVUPSF-UHFFFAOYSA-N,COc1ccc(-c2nc3c(NCC4CCN(C)CC4)c(C#N)cnc3[nH]2)cc1,P52333|PF07714,30000.0,30000.0,18,10.308952660644293,6
PTHJVFQTMJMDKU-UHFFFAOYSA-N,COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3C)CC2)ccc1Cl,P33261|PF00067,5999.999999999999,5999.999999999999,17,8.699514748210191,6
GRNOUCSASKXWNP-FMCGGJTJSA-N,C/C(=N/NC(=O)c1cc2ccccc2cc1O)C1C(=O)c2ccccc2C1=O,Q07820|PF00452,108803.0,108803.0,18,11.597294186553247,7
XGALLCVXEZPNRQ-UHFFFAOYSA-N,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,P00533|PF07714,20.0,20.0,18,2.9957322735539917,4
PLIVFNIUGLLCEK-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,Q9UKV0|PF00850,67.2,67.2,4,4.207673247529104,4
HOOPNCCFKSIVCO-UHFFFAOYSA-N,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1OCCO1,P21451|PF00001,953.0,953.0,5,6.859614903654202,5
VJLQZOGJQSGWQV-NAKRPEOUSA-N,C[C@H](N[C@H](C(=O)O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(=O)O,P12821|PF01401,700.0000000000001,700.0000000000001,17,6.551080335043405,5
CNOFNQCCSDASTB-UHFFFAOYSA-N,Cc1ccc(-n2[nH]c(C)c(C3(C(F)(F)F)C(=O)N(c4ccccc4)C4=C3C(=O)CC(C)(C)C4)c2=O)cc1,Q9H5J4|PF01151,8.7,8.7,3,2.1633230256605382,4
MJXCUQSYPPYRRU-UHFFFAOYSA-N,CCCCN(CCCC)C(=O)CCC1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,Q8NER1|PF00520,621.0000000000001,621.0000000000001,17,6.431331081933478,5
WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O,O35921|PF00375,11999.999999999998,11999.999999999998,18,9.392661928770137,6
GQXDOOQZYUMRGG-QFIPXVFZSA-N,Oc1ccc2c(c1F)CCCC(c1ccc(OC(F)F)cc1F)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,P03372|PF00104,2.0,2.0,3,0.6931471805599453,3
AZMOSMZXKJAPQI-GSBAOENYSA-N,CC[C@@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)/C(=N/O)C[C@H]1[C@@H]2C(=O)OC,P08183|PF00664,85359.99999999997,85359.99999999997,17,11.354632885975635,7
GBJVVSCPOBPEIT-UHFFFAOYSA-N,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,Q9UQB9|PF00069,17.0,17.0,4,2.8332133440562166,4
YWWFVNOOHJHQOP-UHFFFAOYSA-N,COc1cc(OC)cc(N(CC2CC2)c2ccc3ncc(-c4cnn(CC5CCN(C)CC5)c4)nc3c2)c1,P22607|PF07714,1.23,1.23,4,0.20701416938432607,3
HYXAHECMTOFOFP-UHFFFAOYSA-N,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NCCCCCCn2cccc(O)c2=S)c(F)c1,O15379|PF00850,10000.0,10000.0,7,9.210340371976184,6
JSWJSFQSZOCUKU-UHFFFAOYSA-N,CCNc1nc(NCc2ccc(OC)c(OC)c2)c2ccccc2n1,P06276|PF00135,25000.0,25000.0,18,10.126631103850338,6
ZEEDZJJOWWIIFH-UHFFFAOYSA-N,COc1cc2cccc(OC)c(=O)c2c(OC)c1OC,Q07817|PF00452,100000.0,100000.0,17,11.512925464970227,7
BYQMZYLEICBTNR-ICCFGIFFSA-N,CC(=O)N[C@@H]1CCN(C(=O)c2cc(C#N)ccc2C2C3=C(CCC3=O)N(c3cccc(C(F)(F)F)c3)C(=O)N2C)C1,P08246|PF00089,1.2999999999999996,1.2999999999999996,18,0.2623642644674907,3
HZTSWFIIOGFCSV-UHFFFAOYSA-N,Cn1cc(-c2ccc3nc(NC(=O)CC(F)(F)F)cn3n2)c(-c2ccc(F)cc2)n1,P48730|PF00069,10.300000000000002,10.300000000000002,18,2.3321438952355904,4
KTQIYSRSPCMRNB-UHFFFAOYSA-N,COc1cc(-c2cnc(C)n2C)ccc1Nc1cc2cc(-c3cnn(C4CCOCC4)c3)ccc2cn1,P33981|PF00069,5.999999999999999,5.999999999999999,17,1.791759469228055,3
GOHKIDSTSAUHCB-KRWDZBQOSA-N,CS(=O)(=O)N1CC[C@H](N(Cc2ccccc2Cl)c2ccc(C#N)c(Cl)c2)C1,P10635|PF00067,31000.00000000001,31000.00000000001,18,10.341742483467284,6
YHMBQJOVILGZDZ-UHFFFAOYSA-N,O=C(CN1CCCC1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1,P81908|PF00135,428.2,428.2,5,6.059590376155581,5
KSQJSIGVJXRLJX-UHFFFAOYSA-N,COc1ccccc1-c1nccnc1OC1CN(c2ccc3ccccc3n2)C1,Q9QYJ6|PF00233,149.99999999999997,149.99999999999997,18,5.0106352940962555,5
